x,y,name,type
3.8677653282,-54.8553097992,QPID-7804,Improvement
8.05411803029,-60.757226916,SYSTEMML-1655,Bug
16.230005833,-36.8510452434,SM-3379,Bug
-51.7228014251,-4.55735389017,OOZIE-2925,Bug
-58.176547475,-0.0573206222501,CASSANDRA-13568,Bug
-40.0387383694,-55.3746543471,LUCENE-7863,Improvement
-53.1009175736,-86.6450512407,KAFKA-5357,Sub-task
-61.3772830286,-40.4573502551,AURORA-1931,Task
-11.171799657,-53.7735610821,BEAM-2395,New Feature
-3.75990070501,-52.4091876497,TINKERPOP-1684,Bug
7.10229854029,-39.5427911457,BIGTOP-2794,Improvement
-10.9763407247,-40.0458512585,AMBARI-21171,Bug
41.5121684414,-50.8924617061,BOOKKEEPER-1090,Improvement
43.1966286729,-9.4414307813,PHOENIX-3904,Bug
-31.1104692153,-53.3876628908,SPARK-20942,Improvement
-38.1295323672,-39.1037967904,SLING-6929,Sub-task
-63.2216295622,-49.5372921804,HBASE-18147,Test
-51.7772729975,-2.87876092413,TOMEE-2045,Bug
-29.918242918,-18.0184104739,BOOKKEEPER-1087,Sub-task
-19.0780432018,-46.5935062296,CALCITE-1824,Bug
-2.46567634229,-58.2285233034,IGNITE-5370,Bug
-64.927925094,-3.68201820501,LOG4J2-1926,Improvement
